I, [2014-08-06T16:38:56.903369 #1092]  INFO -- : Database does not exist.  Creating database
I, [2014-08-06T16:38:58.325654 #1092]  INFO -- : authenticating
I, [2014-08-06T16:59:38.966363 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:59:46.463113 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:01:20.423508 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:01:50.158481 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:02:14.537919 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:03:02.932758 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:03:36.968161 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:05:29.659429 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:06:10.779541 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:09:07.805241 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T17:10:06.350095 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
